::1 - - [04/Sep/2023:17:14:54 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"
::1 - - [04/Sep/2023:17:18:12 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:20:22 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:26:28 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:26:28 +0000] "POST /signup HTTP/1.1" 200 43 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:27:47 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:31:00 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:31:00 +0000] "POST /signup HTTP/1.1" 401 49 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:33:41 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:33:41 +0000] "POST /signup HTTP/1.1" 401 49 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:34:17 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:34:17 +0000] "POST /signup HTTP/1.1" 401 49 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:35:44 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:35:44 +0000] "POST /signup HTTP/1.1" 401 49 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:36:08 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:36:08 +0000] "POST /signup HTTP/1.1" 402 49 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:37:22 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:37:22 +0000] "POST /signup HTTP/1.1" 409 49 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:38:44 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:38:44 +0000] "POST /signup HTTP/1.1" 409 49 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:39:35 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:39:35 +0000] "POST /signup HTTP/1.1" 409 49 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:40:13 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:40:13 +0000] "POST /signup HTTP/1.1" 409 49 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:43:51 +0000] "OPTIONS /signup HTTP/1.1" 204 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
::1 - - [04/Sep/2023:17:43:51 +0000] "POST /signup HTTP/1.1" 409 47 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"
